Comment ID,Author,Content,Publish Date,Like Count,Reply Count,Detected Language,Label
UgxWkiIQkMTUGoTqKUx4AaABAg,@Philhellene1,Thank you for this. Another option for tying shoe laces is the Berluti knot.,2025-11-23T10:54:24Z,0,0,en,0
UgzeFRzAnNFL3RvquSd4AaABAg,@peterpemrich6962,The best knot is the way you tie your dress shoes I forgot what it's called,2025-11-22T01:32:09Z,0,0,en,0
UgyzrOYTAM3F4wQmPJd4AaABAg,@AallonTapsa,Is this how the super genius Elon Musk ties his shoelaces?,2025-11-20T05:27:05Z,0,0,en,2
UgwCG4M4lBsyVnYJDOl4AaABAg,@kevgermany,"Can't see what he's getting at. There is no loop, I know thevdifference between a granny and reef knot, but...",2025-11-18T15:43:38Z,0,0,en,3
UgwZoy5D710YZXSe-vN4AaABAg,@yetijetn6360,"Ah, learn the Berluti knot and never have to double knot your shoes!",2025-11-18T03:52:40Z,0,0,en,0
UgyuDvM5NNbceYHw5xB4AaABAg,@jeffdege4786,I find it hard to believe that most people tie granny knots.,2025-11-18T02:28:19Z,0,0,en,0
Ugw5COYnmLmXyzf1xPB4AaABAg,@FakeGuyPersonDudeFella,Me who ties with the double loop method: 👁️👄👁️,2025-11-17T20:54:26Z,0,0,en,2
UgxGRRCQwXuA3wHj0uZ4AaABAg,@WitherStorm9000,I use the berluti technique,2025-11-17T19:46:22Z,0,0,Other,3
UgxiSqKtRtCpGxABb7N4AaABAg,@johan.ohgren,It's also harder to untie.,2025-11-16T10:46:52Z,0,0,en,0
UgxSGBNa5Wgsoansgp94AaABAg,@Nicklas_YT,I don't understand,2025-11-16T08:12:32Z,0,0,Other,2
UgxciZalhjitgoM9Q694AaABAg,@twelvefootboy,"square knots will loosen when they are not under tension.  never use them for overhead loads, fishing tackle, whatever.  they are able to be loosened without cutting the knot, unlie granny knots.
what i want to know is why my gym shorts drawstring cannot be loosened without falling into a granny knot.  it has something to do with the loose end falling through the loop.",2025-11-15T04:20:42Z,0,0,en,5
UgxcVg0ZNx1fmKqKFA54AaABAg,@reignman30,I just use a Berluti knot.,2025-11-14T20:40:28Z,0,0,Other,3
Ugz69F2pHyVHYQRXqid4AaABAg,@Balkan_Manyak,I make two bunny ear like shapes with the laces and tie them up as if they were an individual lace and it just works.,2025-11-12T08:16:01Z,0,0,en,3
UgwRymGD1IJOZAaVVMF4AaABAg,@asbjrnlomborg7830,"I dont know which one i do, but my laces never get untied. not once by accident",2025-11-10T23:18:51Z,0,0,en,3
UgxWgVEdykEogfONO2F4AaABAg,@bobirwin1028,"This was taught as a Bear Scout in Cub Scouts. The final knot is obvious. If you tie a square knot, the loops will lie flat in line with the shoestring. If a granny, the propellers will lie out of line.",2025-11-10T18:55:32Z,0,0,en,0
UgxMl4lpiu1jqiHaW0h4AaABAg,@ShokkuKyushu,Velcro users :🗿,2025-11-09T12:31:13Z,1,0,Other,2
